BoroName,NTAName,id,mhinc_70,mhinc_80,mhinc_90,mhinc_00,mhinc_10,pcol_70,pcol_80,pcol_90,pcol_00,pcol_10,70_HINC70,70_MHMVAL7,70_MRENT70,00_MHMVAL0,00_MRENT00,10_mrent0a,10_mhmval0,70_POP70,70_WHITE70,70_BLACK70,80_POP80,80_NHWHT80,80_NHBLK80,80_MHMVAL8,80_MRENT80,90_POP90,90_NHWHT90,90_NHBLK90,90_MHMVAL9,90_MRENT90,00_POP00,00_NHWHT00,00_NHBLK00,10_pop10,10_nhwht10,10_nhblk10
Staten Island,West New Brighton-New Brighton-St. George,36085000900,0,17878,27412,35703,56192,16,29,35,32,33,9653.845556,25681.81757,111.0989015,165200,714,913,463700,2133.00001142244,1666.0000089216,415,1666.0000089216,948,410,45769.0002450978,235.00000125845,1656.00000886805,704.000003769994,527,168800.000903942,517.000002768589,2109,623,859,2112,484,845
Staten Island,West New Brighton-New Brighton-St. George,36085012500,0,20889,40068,42260,55139,7,11,20,24,20,9694.444719,21485.14757,110.9090885,179100,680,1247,462000,2766.00002197683,2625.00002085653,121,2617.00002079297,2165,241,49494.0003932469,233.000001851266,2384.0000189417,1740.0000138249,309,168000.001334818,568.000004512956,2803,1495,499,2939,1171,572
Staten Island,Grasmere-Arrochar-Ft. Wadsworth,36085007400,9500,12606,26689,30604,65559,3,6,10,9,35,9500,19305.55482,102.307693,187200,590,696,452500,2173.00002706784,2152.00002680626,8,2833.00003528909,2497,37,43039.0005361127,190.000002366723,2895.00003606139,2376.0000295965,22,163300.002034137,397.000004945206,3644,2565,74,4693,3006,178
Manhattan,East Village,36061003200,0,8759,25311,36759,52203,14,25,37,51,57,5374.345504,,63.4224594,176300,730,1179,604900,9870.00014549456,8927.00013159371,553,8369.00012336818,6127,448,8947.00013188853,177.000002609173,7832.00011545222,5777.00008515928,460,287500.004238063,382.000005631096,8016,5819,340,8234,5708,302
Manhattan,Midtown-Midtown South,36061009600,0,17574,24750,60083,36906,28,43,43,72,34,7145.83363,,183.809522,1000001,975,399,-999,514.000012446195,453.000010969117,40,387.000009370968,288,28,,283.000006852672,151.000003656372,105.000002542511,5,0,450.000010896474,210,101,9,155,99,5
Manhattan,Turtle Bay-East Midtown,36061009800,0,20604,42398,67482,101191,38,51,62,74,82,10187.14519,63125,170,286300,1230,1940,774400,7262.00002705306,7075.00002635643,62,7199.00002681836,6413,100,202273.000753526,368.000001370907,6979.0000259988,5813.00002165511,229,500001.001862649,692.000002577901,7066,5756,170,7316,5665,186
Manhattan,Turtle Bay-East Midtown,36061010000,9125,20777,48884,73906,82488,29,48,53,73,71,9125,,230.621305,312500,1182,1958,693500,2112.00001180172,2052.00001146644,22,2007.00001121499,1779,43,225000.001257285,447.000002497807,1663.00000929274,1433.00000800751,19,337500.001885928,785.000004386529,1822,1480,20,1992,1372,117
Manhattan,Midtown-Midtown South,36061010200,0,16750,47740,174119,41809,52,38,62,84,46,7333.333489,,163.1579005,1000001,1162,1078,58700,449.999998114072,431.999998189509,6,266.999998881016,228,2,,370.999998445157,319.999998658895,257.999998918734,24,500000.99790452,968.999995938968,269,241,1,230,163,19
Manhattan,Midtown-Midtown South,36061010400,0,21926,38636,67500,85455,35,49,60,69,82,13744.1873,10000,214.2857322,296400,1082,1671,740400,1238.99997230619,1213.99997286499,9,1193.99997331202,1087,7,79999.9982118607,355.99999204278,1178.9999736473,1046.99997659773,25,500000.988824107,686.999984644353,1097,909,29,966,758,30
Manhattan,Midtown-Midtown South,36061011201,0,24511,47802,78354,122125,32,40,54,67,70,11289.85517,,298.18182,546900,1681,2001,930600,1256.00000116974,1240.00000115484,5,1173.00000109244,1078,20,,510.000000474975,947.000000881962,882.000000821427,7,0,915.00000085216,1041,858,42,992,830,15
